ivig_8	TemPhD_cluster_49126	72.946	49829	42935	499	6.51e-33
ivig_9	uvig_80185	76.518	51236	41142	494	4.96e-64
ivig_10	ivig_1655	88.372	46249	51440	86	6.17e-18
ivig_126	ivig_1401	76.253	46955	27629	459	2.13e-57
ivig_127	uvig_441980	74.432	32441	36300	1584	0.0
ivig_173	uvig_144311	92.517	41602	47195	5145	0.0
ivig_173	uvig_144311	75.658	41602	47195	1939	0.0
ivig_173	uvig_144311	82.744	41602	47195	962	0.0
ivig_173	uvig_144311	74.931	41602	47195	1452	4.43e-178
ivig_173	uvig_144311	92.167	41602	47195	383	4.62e-148
ivig_173	uvig_144311	87.311	41602	47195	331	8.24e-101
ivig_173	uvig_144311	73.786	41602	47195	721	1.46e-58
ivig_173	uvig_144311	74.644	41602	47195	351	1.52e-28
ivig_173	uvig_144311	90.476	41602	47195	105	1.52e-28
ivig_173	uvig_144311	85.185	41602	47195	135	9.16e-26
ivig_173	uvig_144311	91.667	41602	47195	84	9.22e-21
ivig_173	uvig_144311	88.406	41602	47195	69	2.60e-11
ivig_176	uvig_434714	73.533	36678	39484	1840	6.58e-171
ivig_176	uvig_434714	75.157	36678	39484	958	3.33e-109
ivig_176	uvig_434714	76.309	36678	39484	726	2.03e-96
ivig_189	uvig_167987	94.093	34199	46997	2421	0.0
ivig_190	uvig_434714	73.873	36783	39484	1841	0.0
ivig_190	uvig_434714	75.261	36783	39484	958	7.18e-111
ivig_190	uvig_434714	76.171	36783	39484	726	9.49e-95
ivig_211	uvig_434714	73.873	36758	39484	1841	0.0
ivig_211	uvig_434714	75.261	36758	39484	958	7.17e-111
ivig_211	uvig_434714	76.171	36758	39484	726	9.48e-95
ivig_301	uvig_372771	89.073	25586	28697	604	0.0
ivig_301	uvig_372771	98.077	25586	28697	52	2.66e-14
ivig_314	uvig_434714	73.845	26983	39484	1797	6.17e-180
ivig_314	uvig_434714	75.542	26983	39484	830	1.16e-97
ivig_315	uvig_576711	76.152	19135	37627	738	1.06e-96
ivig_378	TemPhD_cluster_42418	89.000	34902	39940	2909	0.0
ivig_378	TemPhD_cluster_42418	89.438	34902	39940	2206	0.0
